Index;Los PJs deben;objeto;personaje;complicación;Protagonista;Desea;enemigo;Enfrenta;Necesita;Al final;lugar;objeto;adj;adj2;Medieval - Taberna - Nombre;Medieval - Taberna - Adjetivo;Comida 1;Comida 2;Comida 3;bebida 1;bebida 2;Trampas - Elemento;Trampas - Acción;Trampas - Desencadenante;PNJ profesion;PNJ Origen;PNJ Carácter;PNJ Aspecto;PNJ Especial;Medieval - Personaje;Medieval - Acción;Medieval - Lugar;Medieval - Objeto;Medieval - Evento;Medieval - Criatura;Medieval - Organización;Dungeon - Objeto;Dungeon - Evento;Dungeon - tipo;símbolo - obj;escudo - color;escudo - campo;símbolo - color;Trama PNJ 1;Trama PNJ 2;deidad - ambitos;deidad - adorador;deidad - sacerdotes;deidad - ritos;deidad-arquitectura;poción - textura;poción - tipo;poción - efecto secundario;lugar - color;lugar - ref;lugar - nom;Objeto -accion;Objeto -sujeto
104;;un cetro;;;;;;;;;;el arpa;bienhallado;de la liberación;El orégano;Sediento;;;trufas;;;;;;;;dialogante;tiene la mirada fría;está enamorado de alguien importante;Gato;Esconder;Iglesia;Hueso;Heladas;Kelpie;;moho;está abandonado;escalinata;una iglesia;;;;un general;quiere reemplazar a;caridad;;;;con vidrieras;;;;;del cuchillero;;;
105;;un bastón;;;;;;;;;;el laúd;vorpal;de los esclavos;El órgano;Septentrional;;;mostaza;;;;;;;;dicharachero;tiene la mirada furibunda;está escapando de alguien;Gemelos;Esperar;Infraoscuridad;Huevo;Herencia;Kóbold;;plantas;nadie ha pasado por aquí en mucho tiempo;escalera de caracol;una gota;;;;un gitano;quiere derrocar a;oro;;;;con muchos colores;;;;;del aguador;;;
106;;un collar;;;;;;;;;;el atrio;siegavidas;de la pobreza;El oso;Solitario;;;fresas;;;;;;;;diplomático;tiene la mirada nerviosa;está fascinado por la magia;Genasí;Espiar;Isla;Impuesto;Hundimiento;Kraken;;maleza;alguien quería que no se encontrara este lugar;refugio;una lágrima;;;;un guardabosques;quiere destituir a;riquezas;;;;con muchos adornos;;;;;del pastor;;;
107;;la costa;;;;;;;;;;el altar;segador;de la riqueza;El palacio;Sombrío;;;frambuesas;;;;;;;;discreto;tiene la mirada penetrante;está iniciando una rebelión;General;Establecer;Isla;Inscripción;Idea;Kuo-toa;;vegetación;alguien esperaba que otros llegaran aquí;acceso;un rayo;;;;un guardaespaldas;quiere desprestigiar a;tesoro;;;;de forma austera;;;;;del labriego;;;
108;;un acantilado;;;;;;;;;;el ara;buscador;del oro;El paladín;Sureño;;;jengibre;;;;;;;;discutidor;tiene la mirada pícara;está interesado en algún tipo de monstruo;Gitano;Estudiar;Isla;Joya;Inauguración;Lamia;;enredaderas;alguien dejó pistas;salida;un relámpago;;;;un guardia;quiere entrar en la casa de;búsqueda;;;;sin adornos;;;;;del rey;;;
109;;unas cavernas;;;;;;;;;;la hoguera;celestial;de búsqueda;El pantalón;Triste;;;olivas;;;;;;;;distraído;tiene la nariz afilada;está maldito;Guardabosques;Excavar;Islote;Lámpara;Incendio;Licántropo;;algo enterrado;aquí se cometió un crimen;centro de investigación;un ala;;;;un guardián;está enamorado de la pareja de;exploración;;;;sin símbolos;;;;;de la reina;;;
110;;un altar;;;;;;;;;;la cima;celeste;de jade;El pegaso;Tuerto;;;aceitunas;;;;;;;;divertido;tiene la nariz aguileña;está recién salido de la cárcel;Guardaespaldas;Experimentar;Jardín;Lanza;Incesto;Liche;;sangre;alguien ocultó pruebas aquí;sala de magia;un cetro;;;;un guerrero;es el amante secreto de;hojas;;;;sin representaciones;;;;;del príncipe;;;
111;;una cripta;;;;;;;;;;la cumbre;subterráneo;de diamante;El pergamino;Vacío;;;hojas de parra;;;;;;;;dócil;tiene la nariz ancha;frecuentemente guiña el ojo;Guardia;Explorar;Jungla;Lápida;Incursión;Limo;;restos de comida;hay algo enterrado;sala de oración;una varita;;;;un heredero;es el amante de la pareja de;plantas;;;;sin paredes;;;;;del monje;;;
112;;un círculo mágico;;;;;;;;;;el pie;ilimitado;de rubí;El perro;Valiente;;;dátiles;;;;;;;;dogmático;tiene la nariz colorada;fue desheredado por su familia;Guardián;Expulsar;Laberinto;Lentes;Independencia;Lobo;;cadáveres;hay un mecanismo;sala de meditación;un bastón;;;;un hermano;ha escondido a;bestias;;;;sólo con columnas;;;;;del montaraz;;;
113;;una pirámide;;;;;;;;;;la pezuña;;de obsidiana;El pescado;Venenoso;;;cerezas;;;;;;;;dormilón;tiene la nariz prominente;fue desterrado;Guerrero;Extirpar;Laboratorio;Libro;Infiltración;Mantícora;;huesos;no hay forma de pasar;sala de recogimiento;un orbe;;;;un héroe;ha dado asilo a;piratería;;;;sólo con un altar;;;;;del druida;;;
114;;un templo;;;;;;;;;;la lágrima;;de oro;El peto;Verde;;;miel;;;;;;;;educado;tiene la nariz puntiaguda;fuma compulsivamente;Heredero;Extraer;Lago;Licor;Inicio;Manto;;insectos muertos;;basurero;un ancla;;;;un herrero;busca protección de;pillaje;;;;con un altar de piedra exótica;;;;;del mago;;;
115;;una secta;;;;;;;;;;el ánfora;;de plata;El pícaro;Viejo;;;caramelo;;;;;;;;egoísta;tiene la nariz respingona;guarda un secreto familiar;Hermano;Fabricar;Laguna;Lodo;Inquisición;Medusa;;insectos;;aljibe;una perdiz;;;;un hierofante;busca asilo de;navegación;;;;con un altar adornado;;;;;del brujo;;;
116;;un artefacto;;;;;;;;;;;;del cielo;El pico;Volador;;;jarabe;;;;;;;;elitista;tiene la piel de color extraño;guarda un terrible secreto;Héroe;Falsificar;Licorería;Luna;Intoxicación;Micónido;;grava;;lago;un gallo;;;;una hija;se esconde en la casa de;mar;;;;con un altar engalanado;;;;;del hechicero;;;
117;;una nota;;;;;;;;;;;;de las alturas;El pimiento;;;;endrinas;;;;;;;;elocuente;tiene la piel oscura;habla con una jerga ininteligible;Herrero;Fingir;Localización arcana;Madera;Inundación;Minotauro;;un rastrillo cerrado;;río;una garza;;;;un hijo;se siente observado por;olas;;;;con un altar de sacrificios;;;;;de la bruja;;;
118;;un espíritu;;;;;;;;;;;;;El pincel;;;;anís;;;;;;;;empático;tiene las cejas pobladas;habla demasiado;Hierofante;Forjar;Localización elemental;Máquina;Invasión;Modrón;;una compuerta;;acantilado;una llave;;;;un historiador;viaja junto a;acantilados;;;;con una gran hoguera;;;;;de la saga;;;
119;;el cielo;;;;;;;;;;;;;El plato;;;;piñones;;;;;;;;enérgico;tiene las patillas gruesas;habla demasiado despacio;Hija;Fortalecer;Lodazal;Marca;Invento;Mole terrosa;;una esclusa;;abismo;un sable;;;;un infernal;escolta a;pozos;;;;con un gran pozo;;;;;del alquimista;;;
120;;las estrellas;;;;;;;;;;;;;El plebeyo;;;;naranja;;;;;;;;envidioso;tiene los labios cortados;habla mal de sus conocidos;Hijo;Forzar;Manicomio;Marmita;Invierno;Momia;;un túnel;;precipicio;un estoque;;;;un investigador;debe proteger a;cuevas;;;;en torno a una sima;;;;;del capitán;;;
121;;la luna;;;;;;;;;;;;;El poeta;;;;aceite;;;;;;;;equilibrado;tiene los labios gruesos;habla muy bajo;Historiador;Frustrar;Mansión;Máscara;Juicio;Monstruo corrosivo;;una reliquia;;sala del tesoro;un mandoble;;;;un jefe;organiza una expedición junto a;lluvia;;;;con un puente;;;;;del caballero;;;
122;;un cometa;;;;;;;;;;;;;El potaje;;;;vinagre;;;;;;;;escrupuloso;tiene los ojos azules;habla muy rápido;Infernal;Fundir;Mar;Mensaje;Justa;Morfópodo;;un objeto olvidado;;cuarto de tesoros;un mangual;;;;un jinete;se asocia con;tormentas;;;;en las grandes ciudades;;;;;del paladín;;;
123;;las nubes;;;;;;;;;;;;;El príncipe;;;;melocotones;;;;;;;;especulativo;tiene los ojos claros;hizo una promesa que debe cumplir;Investigador;Ganar;Mar;Mercancía;Ley;Muerto viviente;;restos de una criatura;;cámara del tesoro;una mano;;;;un juez;crea una compañía junto con;calma;;;;en los pueblos;;;;;de los dioses;;;
124;;;;;;;;;;;;;;;El puchero;;;;grosellas;;;;;;;;esquivo;tiene los ojos de color miel;huele a flores del bosque;Jefe;Hacer trampas;Marca;Mesa;Ley marcial;Murciélago;;un libro sagrado;;estercolero;una constelación;;;;un juglar;quiere suplantar a;caballos;;;;en las villas;;;;;del dios;;;
125;;;;;;;;;;;;;;;El puerro;;;;pasas;;;;;;;;estrecho de miras;tiene los ojos grandes;idolatra a su padre;Jinete;Huir;Marjal;Miembro;Linchamiento;Mutante;;un anillo;;agujero;una cadena;;;;Juiblex;encuentra el cadáver de;espadas;;;;en los campos;;;;;del armero;;;
126;;;;;;;;;;;;;;;El puré;;;;menta;;;;;;;;estricto;tiene los ojos grises;le da igual todo;Juez;Huír;Mausoleo;Misiva;Llamada a las armas;Naga;;pinturas al fresco;;sala de vigilancia;un látigo;;;;un ladrón;encuentra malherido a;forja;;;;en los bosques;;;;;del marinero;;;
127;;;;;;;;;;;;;;;El queso;;;;hierbabuena;;;;;;;;estudioso;tiene los ojos hundidos;le encantan las apuestas;Juglar;Hundir;Mazmorras;Mithril;Lluvia;Necrófago;;un cuadro;;puesto de vigilancia;un tridente;;;;un líder;quiere fortalecer sus relaciones con;acero;;;;en el mar;;;;;de la sirena;;;
128;;;;;;;;;;;;;;;El rey;;;;hinojo;;;;;;;;exaltado;tiene los ojos inyectados;le falta un dedo;Juiblex;Husmear;Megalito;Moneda;Luna llena;Neogi;;una caja fuerte;;sala de control;una herradura;;;;un lisiado;finge ser el amigo de;armas;;;;en los acantilados;;;;;del kraken;;;
129;;;;;;;;;;;;;;;El montaraz;;;;albaricoques;;;;;;;;exigente;tiene los ojos marrones;le falta un objeto en su colección;Ladrón;Impacientarse;Mercado;Naipe;Magnicidio;Nigromante;;vidrios;;mercado;un cuervo;;;;una madre;finge ser el emisario de;combate;;;;bajo cascadas;;;;;del titán;;;
130;;;;;;;;;;;;;;;El caballero;;;;sandía;;;;;;;;expresivo;tiene los ojos negros;le gusta mostrar una parte de su cuerpo;Líder;Incendiar;Mina;Nicho;Maldición;No-muerto;;un orbe;;atrio;un cáliz;;;;un maestro;finge hablar en nombre de;gloria;;;;en las alturas;;;;;del gigante;;;
131;;;;;;;;;;;;;;;El riachuelo;;;;calabaza;;;;;;;;extrovertido;tiene los ojos oscuros;le gusta viajar;Lisiado;Infiltrar;Minarete;Obra de arte;Marea;Ogro;;un cuerno;;piscina;una copa;;;;un maestro gremial;finge ser representante de;lucha;;;;en los hielos;;;;;del gólem;;;
132;;;;;;;;;;;;;;;El río;;;;;;;;;;;;falaz;tiene los ojos pequeños;le gustan los acertijos;Madre;Influir;Monasterio;Ojo;Marea;Oni;;una imagen;;sala de cría;una cueva;;;;un mago;finge ser el enviado de;pelea;;;;en pantanos;;;;;de arcilla;;;
133;;;;;;;;;;;;;;;El sauce;;;;;;;;;;;;falso;tiene los ojos rasgados;lucha por un ideal;Maestro;Informar;Montaña;Olla;Maremoto;Orco;;una figurita;;guardería;una flauta;;;;un malabarista;quiere huir de;lid;;;;;;;;;de roca;;;
134;;;;;;;;;;;;;;;El soldado;;;;;;;;;;;;fanático;tiene los ojos saltones;masca tabaco;Maestro gremial;Inmovilizar;Montes;Olvidado;Matrimonio;Osgo;;una tiara;;caballeriza;una lira;;;;un marinero;quiere hundir a;justas;;;;;;;;;de piedra;;;
135;;;;;;;;;;;;;;;El sombrero;;;;;;;;;;;;fatalista;tiene los ojos verdes;mira de reojo;Mago;Interceptar;Morgue;Orbe;Mensaje;Oso-lechuza;;gemas;;aviario;un laúd;;;;un marmitón;quiere vencer a;artes marciales;;;;;;;;;de arena;;;
136;;;;;;;;;;;;;;;El sótano;;;;;;;;;;;;fiel;tiene los pies grandes;murmura contínuamente;Malabarista;Interrumpir;Muelles;Oro;Mercado;Otyugh;;gemas falsas;;jardines;un arpa;;;;un marqués;quiere ganar a;artes;;;;;;;;;de polvo;;;
137;;;;;;;;;;;;;;;El tahalí;;;;;;;;;;;;fiero;tiene los pómulos prominentes;necesita ayuda para una misión;Marinero;Introducir;Muralla;Pan;Migración;Parásito;;arañas;;laberinto;un hipogrifo;;;;una marquesa;quiere anticiparse a;artesanía;;;;;;;;;blanco;;;
138;;;;;;;;;;;;;;;El tambor;;;;;;;;;;;;fiero;tiene los rasgos afilados;no es quien dice ser;Marmitón;Investigar;Museo;Pendientes;Milagro;Pesadilla;;un cadalso;;sala de reparación;una pluma;;;;un matón;quiere influir en;pintura;;;;;;;;;rojo;;;
139;;;;;;;;;;;;;;;El templo;;;;;;;;;;;;fisgón;tiene mejillas sonrosadas;no mueve un dedo si no hay oro por medio;Marqués;Invocar;Naufragio;Pergamino;Misión;Plaga;;una pista de baile;;sala comunal;una catapulta;;;;un mayordomo;es coaccionado por;escultura;;;;;;;;;verde;;;
140;;;;;;;;;;;;;;;El tenedor;;;;;;;;;;;;frágil;tiene un brazo de menos;no puede quedarse quieto;Marquesa;Irritar;Nave mágica;Piel;Monzón;Plaga inteligente;;una criatura petrificada;;archivo;un molino;;;;un médico;informa a;música;;;;;;;;;azul;;;
141;;;;;;;;;;;;;;;El tigre;;;;;;;;;;;;galante;tiene un color de ojos inusual;no se fía de nadie;Matón;Lamentar;Navío;Pilar;Muerte;Planodeudo;;una esfera;;librería;una semilla;;;;Mefistófeles;es informado por;comida;;;;;;;;;bermellón;;;
142;;;;;;;;;;;;;;;El tintero;;;;;;;;;;;;generoso;tiene un color de pelo inusual;no se ríe con nada;Mayordomo;Lanzar;Necrópolis;Pluma;Nacimiento;Planta;;un agujero negro;;sala de escribanía;un candado;;;;un mensajero;es informador de;cocina;;;;;;;;;celeste;;;
143;;;;;;;;;;;;;;;El tomate;;;;;;;;;;;;gracioso;tiene un color de piel inusual;no tiene sentido del humor;Médico;Leer;Nido;Pócima;Naufragio;Quimera;;una puerta;;alfarería;un rastrillo;;;;un mercader;quiere interceptar un cargamento de;alimento;;;;;;;;;de la alegría;;;
144;;;;;;;;;;;;;;;El tonel;;;;;;;;;;;;gris;tiene un corte de pelo inusual;nunca se mete en problemas;Mefistófeles;Limpiar;Oasis;Poción;Negociación;Rakshasa;;un arco;;galería de tiro;una mano abierta;;;;un merodeador;quiere interceptar un mensaje de;gula;;;;;;;;;del martillo;;;
145;;;;;;;;;;;;;;;El toro;;;;;;;;;;;;grosero;tiene un ojo vacío;nunca se quita sus guantes;Mensajero;Llamar;Océano;Poesía;Niebla;Rata;;una arcada;;sala sagrada;un anillo;;;;un místico;quiere introducir un espía en casa de;pereza;;;;;;;;;del yunque;;;
146;;;;;;;;;;;;;;;El torrente;;;;;;;;;;;;guarro;tiene un parche en el ojo;odia a casi todos;Mercader;Llenar;Olvidado;Portal;Nieve;Remorhaz;;una intersección;;sala sacrílega;una gema;;;;un monje;quiere invocar a;belleza;;;;;;;;;de la forja;;;
147;;;;;;;;;;;;;;;El torreón;;;;;;;;;;;;hábil;tiene un porte noble;odia a un animal;Merodeador;Llevar;Oscuridad;Probeta;Nombramiento;Roc;;algo del futuro;;sala de adoración;una joya;;;;un montaraz;está harto de;pureza;;;;;;;;;de los fuegos;;;
148;;;;;;;;;;;;;;;El trasgo;;;;;;;;;;;;habilidoso;tiene un porte orgulloso;padece insomnio;Místico;Luchar;Otro plano;Puerta;Nueva ley;Sabandija;;algo del pasado;;muelle;un ojo cerrado;;;;un náufrago;está irritando a;fealdad;;;;;;;;;de la llama;;;
149;;;;;;;;;;;;;;;El tridente;;;;;;;;;;;;harapiento;tiene una dentadura perfecta;parpadea nerviosamente;Monje;Maldecir;Pantano;Rastro;Ofrenda;Sacerdote maligno;;algo de otro mundo;;embarcadero;un ojo reptiliano;;;;un navegante;está molestando a;corrupción;;;;;;;;;de la hoguera;;;
150;;;;;;;;;;;;;;;El trigo;;;;;;;;;;;;heroico;tiene una narizota;pertenece a algún gremio;Montaraz;Medir;Páramo;Recompensa;Ola de crímenes;Saga;;una antigüedad;;centro de mercancías;un ojo felino;;;;un nieto;está acosando a;transformación;;;;;;;;;de las pinzas;;;
151;;;;;;;;;;;;;;;El troll;;;;;;;;;;;;hipocondríaco;tiene una pierna de menos;pertenece a alguna facción;Náufrago;Meditar;Pasadizo;Regalo;Oscuridad;Sajuaguín;;un amuleto;;cuarto de celadores;un oso;;;;un nigromante;se siente acosado por;muerte viviente;;;;;;;;;de la espada;;;
152;;;;;;;;;;;;;;;El tronco;;;;;;;;;;;;holgazán;tiene una sonrisa falsa;piensa que cualquier tiempo pasado fue mejor;Navegante;Merodear;Patio de armas;Reliquia;Otoño;Salamandra;;un ritual;;sala de guardia;un huargo;;;;un oráculo;se siente perseguido por;guerra;;;;;;;;;del hacha;;;
153;;;;;;;;;;;;;;;El unicornio;;;;;;;;;;;;honesto;tiene una sonrisa socarrona;posee un artefacto extraño;Nieto;Moldear;Pedregal;Roca;Pánico;Sátiro;;incienso;;sala de artesanía;un orco;;;;Orcus;persigue a;matanza;;;;;;;;;del mangual;;;
154;;;;;;;;;;;;;;;El vaso;;;;;;;;;;;;honrado;usa muletas;posee una filosofía vital exótica;Nigromante;Morar;Pirámide;Runa;Parálisis;Señor de los muertos;;aceite;;cuarto de costura;un troll;;;;un orfebre;necesita llamar a;lanzas;;;;;;;;;de la lanza;;;
155;;;;;;;;;;;;;;;El vestido;;;;;;;;;;;;hosco;va bien afeitado;pronuncia mal;Oráculo;Morir;Playa;Saco;Parricidio;Serpiente;;ácido;;sastrería;una pala;;;;un padre;tiene que llevar a;dagas;;;;;;;;;del sol;;;
156;;;;;;;;;;;;;;;El vino;;;;;;;;;;;;huidizo;va enjoyado;proviene de una familia rica venida a menos;Orcus;Mudarse;Plaza;Sarcófago;Penitencia;Shadar-Kai;;una maceta;;galería de adiestramiento;una carreta;;;;un paje;maldice a;flechas;;;;;;;;;de la luna;;;
157;;;;;;;;;;;;;;;El violín;;;;;;;;;;;;humilde;va siempre guiñado;quiere a su caballo más que al oro;Orfebre;Nacer;Portal;Seda;Persecución;Slaad;;un jardín;;sala de curtido;un caballo;;;;un paladín;merodea cerca de;frío;;;;;;;;;de las estrellas;;;
158;;;;;;;;;;;;;;;El zapato;;;;;;;;;;;;huraño;viste a la moda;repite una coletilla sin cesar;Padre;Nadar;Posada;Sello;Pesadilla;Tarasca;;unos hongos;;bodega de secado;un jinete;;;;un peregrino;vive cerca de;calor;;;;;;;;;del tiempo;;;
159;;;;;;;;;;;;;;;El zombi;;;;;;;;;;;;idealista;viste anticuado;sabe dónde hay enterrado un tesoro;Paje;Navegar;Pozo;Señal;Peste;Tíflin;;unas setas;;sala de envasado;un elfo;;;;un perro;vive junto a;fuego;;;;;;;;;de la eternidad;;;
160;;;;;;;;;;;;;;;La alcoba;;;;;;;;;;;;imaginativo;;se cree un tipo duro;Paladín;Negociar;Pradera;Símbolo;Petrificación;Titán;;unos hierbajos;;despacho;un enano;;;;un pescador;nació bajo el mismo signo que;rayo;;;;;;;;;de las alturas;;;
161;;;;;;;;;;;;;;;La almohada;;;;;;;;;;;;impío;;se expresa con pedantería;Peregrino;Obligar;Prisión;Sombrero;Pillaje;Trasgo;;mucho polvo;;cuarto de contabilidad;un vaso;;;;un pícaro;nació el mismo día que;relámpago;;;;;;;;;perdida;;;
162;;;;;;;;;;;;;;;La alubia;;;;;;;;;;;;imprudente;;se mesa las barbas;Perro;Ocultar;Profundidades;Suministro;Pista;Troglodita;;telarañas;;sala de mapas;un grial;;;;un pirata;rescata a;trueno;;;;;;;;;escondida;;;
163;;;;;;;;;;;;;;;La antorcha;;;;;;;;;;;;impulsivo;;se muerde las uñas;Pescador;Ofrecer;Prostíbulo;Tahalí;Plaga;Troll;;un conducto;;sala de proyectos;un colmillo;;;;una pitonisa;salva a;luz;;;;;;;;;de la llave;;;
164;;;;;;;;;;;;;;;La araña;;;;;;;;;;;;incansable;;se pega mucho al hablar;Pícaro;Otorgar;Pueblo fantasma;Tapiz;Posesión;Unicornio;;unas tuberías;;despacho de ingeniería;una uña;;;;un plebeyo;es rescatado por;día;;;;;;;;;de la puerta;;;
165;;;;;;;;;;;;;;;La avena;;;;;;;;;;;;inculto;;se pelea con todo el mundo;Pirata;Pagar;Puente;Tatuaje;Previsión;Vampiro;;unos huesos;;sala de mando;un monje;;;;un policía;es salvado por;noche;;;;;;;;;de las piedras;;;
166;;;;;;;;;;;;;;;La ballesta;;;;;;;;;;;;indeciso;;se pone a hablar con cualquiera;Pitonisa;Pedir;Puerta secreta;Taza;Primavera;Wraith;;un esqueleto;;observatorio;un arquero;;;;un posadero;cura a;lujuria;;;;;;;;;empedrado;;;
167;;;;;;;;;;;;;;;La baraja;;;;;;;;;;;;independiente;;se rasca contínuamente;Plebeyo;Perder;Puerto;Tela;Profecía;Yuan-ti;;unas ropas viejas;;sala de convocación;unas flechas;;;;un prestidigitador;es curado por;pasión;;;;;;;;;de humo;;;
168;;;;;;;;;;;;;;;La bisagra;;;;;;;;;;;;indiferente;;se relame;Policía;Perseguir;Puesto;Telar;Prohibición;Yugoloth;;un códice;;sala de conjuración;una punta de lanza;;;;un procurador;acoge;sacrificio;;;;;;;;;de seda;;;
169;;;;;;;;;;;;;;;La bota;;;;;;;;;;;;indiscreto;;se repeina los cabellos;Popular;Planear;Refugio;Telaraña;Publicación;Zombi;;una librería;;sala de espejos;una alabarda;;;;un profeta;es acogido por;sangre;;;;;;;;;de nieve;;;
170;;;;;;;;;;;;;;;La brida;;;;;;;;;;;;individualista;;se ríe por cualquier cosa;Posadero;Polimorfar;Río;Tentáculo;Quiebra;;;unos libros;;sala de ilusión;un cinturón;;;;una prostituta;debe dinero a;conversión;;;;;;;;;de hojalata;;;
171;;;;;;;;;;;;;;;La burra;;;;;;;;;;;;indomable;;sesea;Prestidigitador;Presagiar;Ruinas;Tiara;Rapiña;;;plumas;;sala de abjuración;una bota;;;;un protector;tiene una deuda con;intolerancia;;;;;;;;;de oropel;;;
172;;;;;;;;;;;;;;;La cabaña;;;;;;;;;;;;inexpresivo;;siempre bromea acerca de todo;Procurador;Profetizar;Ruta;Tinaja;Rebelión;;;un tonel;;sala de encantamientos;un camino;;;;un ratero;tiene que pagar a;peregrinación;;;;;;;;;de latón;;;
173;;;;;;;;;;;;;;;La cabra;;;;;;;;;;;;influenciable;;siempre busca bronca;Profeta;Proteger;Sala acorazada;Tótem;Recaudación;;;un saco;;cuarto de protección;una hoja de roble;;;;un renegado;tiene que cobrar de;silencio;;;;;;;;;de fuego;;;
174;;;;;;;;;;;;;;;La cacerola;;;;;;;;;;;;ingenioso;;siempre contesta con evasivas;Prominente;Quebrar;Sala de baile;Trampa;Regalo;;;unas hierbas;;depósito de cadáveres;una hoja de olmo;;;;un representante;ha perdido a;vista;;;;;;;;;de frío;;;
175;;;;;;;;;;;;;;;La calavera;;;;;;;;;;;;ingenuo;;siempre cuenta anécdotas;Prostituta;Quemar;Sala de fiestas;Trampilla;Reunión;;;sacas de cereal;;sala de autopisas;una hoja de fresno;;;;un rey;planea algo contra;oscuridad;;;;;;;;;de ácido;;;
176;;;;;;;;;;;;;;;La cama;;;;;;;;;;;;inocente;;siempre cuenta chistes;Protector;Raptar;Sala de torturas;Tratado;Revuelta;;;una cortina;;sala de nigromancia;unas semillas;;;;un rival;profetiza algo sobre;resplandor;;;;;;;;;del trueno;;;
177;;;;;;;;;;;;;;;La cama;;;;;;;;;;;;inquisidor;;siempre cuenta sus batallitas;Ratero;Rasgar;Salón;Tumba;Riada;;;una cómoda;;bodega de destilación;unos granos;;;;un sabio;quiere secuestrar a;mente;;;;;;;;;del relámpago;;;
178;;;;;;;;;;;;;;;La camisa;;;;;;;;;;;;inquisitivo;;siempre está afilando su navaja;Renegado;Rastrear;Semiplano;Túnel;Ritual;;;un pedestal;;ropero;una hoz;;;;un sacerdote;es secuestrado por;cuerpo;;;;;;;;;del rayo;;;
179;;;;;;;;;;;;;;;La cañada;;;;;;;;;;;;insensato;;siempre está con que el primo de un amigo se lo dijo;Representante;Reclutar;Sendero;Túnica;Ruina;;;columnas;;laboratorio;un arado;;;;un salvaje;quiere reastrear a;atletismo;;;;;;;;;del avatar;;;
180;;;;;;;;;;;;;;;La capa;;;;;;;;;;;;insistente;;siempre está con que él sólo mató al dragón;Rey;Recolectar;Sima;Ungüento;Rumor;;;un balcón;;sala de armas;un burro;;;;un sanador;es rastreado por;perfección;;;;;;;;;el mensajero;;;
181;;;;;;;;;;;;;;;La capucha;;;;;;;;;;;;insulso;;siempre está fanfarroneando;Rival;Recuperar;Sótano;Valla;Sacrificio;;;balcones;;cuarto de calderas;un cerdo;;;;un secretario;está huyendo de;imperfección;;;;;;;;;del muerto;;;
182;;;;;;;;;;;;;;;La carne;;;;;;;;;;;;intimidante;;siempre está riendo;Sabio;Redimir;Submundo;Vara;Saqueo;;;un murete;;carbonera;un buey;;;;un secuestrador;quiere capturar a;reparación;;;;;;;;;del moribundo;;;
183;;;;;;;;;;;;;;;La casa;;;;;;;;;;;;intolerante;;siempre está sacando brillo a su símbolo sagrado;Sacerdote;Regalar;Subterráneos;Vara;Secreto revelado;;;un escudo;;almacén de leña;una res;;;;un semidiós;quiere averiguar la verdad sobre;construcción;;;;;;;;;del héroe;;;
184;;;;;;;;;;;;;;;La catacumba;;;;;;;;;;;;intransigente;;siempre golpea con el dedo;Salvaje;Relampaguear;Sumergible;Varita;Secuestro;;;un tapiz;;serrería;una vaca;;;;un semielfo;quiere recuperar algo de;destrucción;;;;;;;;;del bardo;;;
185;;;;;;;;;;;;;;;La catedral;;;;;;;;;;;;intrigante;;siempre invita a una ronda;Sanador;Rescatar;Sumergido;Vegetal;Señal;;;una alfombra;;almacén de víveres;una oveja;;;;un señor de la guerra;quiere redimir a;licor;;;;;;;;;del juglar;;;
186;;;;;;;;;;;;;;;La caverna;;;;;;;;;;;;intrigante;;siempre juega con un puñal;Secretario;Resucitar;Taberna;Vela;Sequía;;;un mecanismo;;silo;una cabra;;;;un siervo;quiere atraer a;alcohol;;;;;;;;;del bufón;;;
187;;;;;;;;;;;;;;;La cebada;;;;;;;;;;;;introvertido;;siempre juega con una moneda;Secuestrador;Revivir;Taller;Veneno;Siembra;;;un sistema de poleas;;búnker;un pico nevado;;;;una sirvienta;tienta a;magia;;;;;;;;;del duque;;;
188;;;;;;;;;;;;;;;La cebolla;;;;;;;;;;;;iracundo;;siempre lo sabe todo;Semidiós;Rezar;Tanque;Ventana;Silencio;;;un pozo;;almacén de magia;una cascada;;;;un sirviente;atrae a su fe a;hechicería;;;;;;;;;de la duquesa;;;
189;;;;;;;;;;;;;;;La cerradura;;;;;;;;;;;;irascible;;siempre olvida los nombres;Semielfo;Robar;Teatro;Verja;Sitio;;;un portal;;altar;un ocaso;;;;un socio;quiere hechizar a;brujería;;;;;;;;;del conde;;;
190;;;;;;;;;;;;;;;La cerveza;;;;;;;;;;;;irónico;;siempre se teme lo peor;Señor de la guerra;Romper;Tejado;Vial;Suceso;;;un artefacto mágico;;hilandería;una luna creciente;;;;un soldado;quiere engañar a;adivinación;;;;;;;;;de la condesa;;;
191;;;;;;;;;;;;;;;La chimenea;;;;;;;;;;;;irrespetuoso;;siempre tamborilea con los dedos;Siervo;Sacrificar;Teletransportador;Vidrio;Tarea;;;un glifo custodio;;cuarto de mantenimiento;una luna menguante;;;;un sultán;se ve engañado por;locura;;;;;;;;;del barón;;;
192;;;;;;;;;;;;;;;La choza;;;;;;;;;;;;irreverente;;siempre vocifera;Sirvienta;Saltar;Templo;Vino;Teatro;;;una runa de poder;;sala de invocación;un duende;;;;un sumo sacerdote;quiere revivir a;masoquismo;;;;;;;;;de la baronesa;;;
